State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details
Puducherry,Unknown,2021,April,Friday,16:11,Fatal,4,Car,6,5,Rainy,Village Road,Under Construction,Dark,Signs,66,65,Male,Valid,Yes,Straight Road
Bihar,Unknown,2019,March,Tuesday,6:37,Serious,5,Truck,8,5,Stormy,Urban Road,Dry,Daylight,Signals,115,42,Male,Expired,No,Curve
Rajasthan,Jaipur,2022,March,Friday,14:50,Serious,3,Truck,10,0,Clear,State Highway,Dry,Daylight,Signs,42,62,Male,,No,Intersection
Puducherry,Coimbatore,2022,November,Sunday,22:09,Serious,2,Truck,3,2,Rainy,State Highway,Wet,Dark,Signs,44,61,Female,Expired,Yes,Intersection
Madhya Pradesh,Unknown,2019,August,Monday,10:34,Minor,2,Truck,7,0,Rainy,Village Road,Under Construction,Dark,Signs,121,55,Female,,Yes,Straight Road
Telangana,Lucknow,2020,August,Saturday,3:43,Fatal,4,Truck,6,0,Clear,National Highway,Dry,Dusk,,117,26,Male,Valid,Yes,Curve
Uttar Pradesh,Unknown,2023,January,Monday,17:16,Minor,2,Car,6,3,Stormy,State Highway,Damaged,Dusk,Police Checkpost,106,36,Male,Valid,No,Bridge
Delhi,Vadodara,2023,January,Monday,6:12,Fatal,1,Two-Wheeler,0,3,Clear,State Highway,Under Construction,Daylight,Police Checkpost,101,42,Female,Expired,Yes,Bridge
Jharkhand,Mysore,2022,November,Thursday,4:19,Minor,1,Car,5,0,Hazy,State Highway,Wet,Dawn,Police Checkpost,83,20,Male,Valid,Yes,Intersection
Odisha,Unknown,2023,September,Sunday,16:00,Serious,4,Cycle,5,1,Hazy,Village Road,Under Construction,Dusk,Police Checkpost,47,42,Male,,No,Straight Road
Tripura,Unknown,2019,December,Sunday,2:51,Fatal,5,Car,1,0,Rainy,Village Road,Under Construction,Daylight,Signs,79,69,Female,Valid,Yes,Bridge
Uttarakhand,Unknown,2023,July,Thursday,9:56,Serious,4,Two-Wheeler,6,2,Clear,National Highway,Under Construction,Daylight,Signs,69,38,Male,Valid,No,Curve
Rajasthan,Unknown,2020,March,Thursday,23:22,Minor,4,Car,9,0,Stormy,National Highway,Wet,Dark,Signals,89,52,Male,Valid,No,Intersection
Chhattisgarh,Unknown,2019,October,Sunday,8:19,Serious,5,Bus,3,2,Rainy,Village Road,Under Construction,Dark,Signals,106,44,Male,Valid,No,Straight Road
Kerala,Ahmedabad,2019,September,Thursday,9:22,Serious,2,Auto-Rickshaw,5,0,Rainy,Village Road,Dry,Daylight,Signs,66,38,Female,Expired,No,Straight Road
Delhi,Vadodara,2019,November,Wednesday,2:43,Fatal,5,Cycle,10,2,Clear,State Highway,Dry,Daylight,Signs,111,72,Male,Expired,No,Intersection
Puducherry,Unknown,2020,October,Monday,9:22,Serious,4,Cycle,2,0,Rainy,Village Road,Damaged,Daylight,Signs,108,66,Female,Expired,Yes,Straight Road
Haryana,Unknown,2020,December,Sunday,2:28,Serious,2,Cycle,7,2,Rainy,Urban Road,Under Construction,Daylight,Signs,74,40,Male,,Yes,Straight Road
Meghalaya,Unknown,2019,March,Wednesday,1:19,Serious,4,Truck,8,2,Clear,Urban Road,Damaged,Dawn,Signs,106,42,Male,Valid,No,Bridge
Rajasthan,Unknown,2022,November,Tuesday,10:45,Serious,4,Auto-Rickshaw,1,2,Stormy,State Highway,Under Construction,Dusk,Police Checkpost,106,47,Female,Valid,No,Curve
Andhra Pradesh,Mumbai,2019,January,Friday,14:23,Serious,5,Car,5,0,Rainy,Village Road,Wet,Daylight,Signs,83,62,Male,Expired,No,Intersection
Chandigarh,Jodhpur,2020,October,Tuesday,2:24,Serious,1,Car,5,0,Rainy,Urban Road,Dry,Dark,Signals,80,20,Female,Valid,No,Intersection
Maharashtra,Unknown,2020,April,Sunday,8:30,Minor,2,Car,6,2,Rainy,Village Road,Dry,Dusk,,35,48,Male,,No,Straight Road
Mizoram,Unknown,2020,June,Thursday,7:10,Serious,3,Auto-Rickshaw,0,2,Foggy,Village Road,Wet,Dawn,,87,36,Female,Expired,Yes,Curve
Uttar Pradesh,Unknown,2019,July,Tuesday,19:43,Fatal,5,Truck,8,2,Stormy,State Highway,Wet,Dark,,92,53,Male,Expired,Yes,Bridge
Meghalaya,Unknown,2020,August,Tuesday,12:50,Serious,1,Truck,6,2,Clear,State Highway,Under Construction,Daylight,Signs,64,68,Male,Expired,Yes,Straight Road
Delhi,Vijayawada,2020,October,Saturday,10:22,Minor,5,Two-Wheeler,3,2,Clear,State Highway,Wet,Dusk,Signs,70,68,Male,Expired,No,Intersection
Haryana,Unknown,2020,October,Monday,23:32,Minor,2,Cycle,9,1,Rainy,State Highway,Under Construction,Dark,,84,64,Male,Expired,Yes,Intersection
Jharkhand,Unknown,2021,January,Wednesday,21:54,Serious,3,Bus,3,2,Rainy,National Highway,Under Construction,Dawn,Police Checkpost,117,40,Male,Expired,Yes,Straight Road
Himachal Pradesh,Unknown,2018,January,Saturday,7:43,Serious,1,Truck,1,0,Rainy,Urban Road,Dry,Daylight,Signs,120,30,Female,,No,Intersection
Manipur,Durgapur,2019,April,Sunday,22:13,Fatal,1,Cycle,9,2,Clear,Village Road,Damaged,Daylight,,58,39,Male,Valid,No,Curve
Chandigarh,Unknown,2020,April,Friday,2:24,Fatal,4,Car,0,2,Clear,Village Road,Damaged,Daylight,Police Checkpost,39,24,Female,,No,Intersection
Meghalaya,Unknown,2021,October,Sunday,5:20,Minor,5,Car,7,5,Rainy,Village Road,Under Construction,Daylight,Signs,91,55,Male,Valid,No,Bridge
Meghalaya,Unknown,2022,December,Wednesday,4:57,Serious,4,Two-Wheeler,5,3,Clear,State Highway,Dry,Dawn,Signs,39,32,Male,Valid,Yes,Bridge
Nagaland,Unknown,2019,February,Monday,20:51,Serious,3,Auto-Rickshaw,0,0,Rainy,Village Road,Under Construction,Dawn,,45,49,Male,,No,Bridge
Meghalaya,Lucknow,2023,November,Sunday,12:25,Fatal,3,Bus,10,4,Foggy,Urban Road,Wet,Dawn,,95,48,Female,,Yes,Curve
Telangana,Vadodara,2019,March,Sunday,23:56,Minor,2,Truck,10,3,Clear,State Highway,Under Construction,Daylight,Signals,83,24,Male,Expired,No,Intersection
Puducherry,Unknown,2021,September,Sunday,16:51,Minor,3,Pedestrian,10,1,Rainy,State Highway,Wet,Daylight,Signs,106,62,Female,,No,Intersection
Puducherry,Unknown,2020,March,Friday,10:30,Serious,5,Truck,2,0,Rainy,State Highway,Wet,Daylight,Police Checkpost,103,35,Female,Expired,Yes,Straight Road
Andhra Pradesh,Ahmedabad,2021,July,Monday,21:53,Serious,5,Cycle,3,4,Rainy,State Highway,Under Construction,Daylight,Signals,99,45,Male,,No,Curve
Telangana,Siliguri,2023,March,Wednesday,19:47,Serious,4,Auto-Rickshaw,1,3,Clear,Urban Road,Damaged,Daylight,Police Checkpost,36,24,Female,Valid,No,Straight Road
Tamil Nadu,Unknown,2021,November,Friday,23:11,Fatal,5,Auto-Rickshaw,10,2,Foggy,State Highway,Under Construction,Daylight,,96,41,Female,,No,Intersection
Chhattisgarh,Unknown,2021,March,Monday,2:21,Fatal,5,Truck,1,5,Stormy,Urban Road,Dry,Dawn,Police Checkpost,49,22,Male,Valid,Yes,Intersection
Telangana,Unknown,2022,February,Thursday,15:01,Fatal,2,Bus,6,3,Foggy,State Highway,Under Construction,Dark,Signs,106,33,Male,Expired,Yes,Bridge
Uttar Pradesh,Unknown,2020,February,Tuesday,16:18,Minor,5,Car,3,2,Stormy,Village Road,Damaged,Dusk,Signs,114,24,Female,Valid,Yes,Curve
Delhi,Unknown,2023,December,Saturday,16:15,Minor,4,Truck,1,3,Rainy,National Highway,Wet,Dusk,Police Checkpost,117,40,Male,,No,Curve
Meghalaya,Unknown,2018,January,Saturday,5:29,Serious,5,Cycle,7,2,Hazy,National Highway,Damaged,Dark,,56,56,Female,Expired,Yes,Bridge
Maharashtra,Madurai,2020,December,Friday,11:58,Minor,5,Car,3,1,Stormy,Village Road,Damaged,Daylight,Signs,117,44,Female,Valid,Yes,Curve
Mizoram,Unknown,2018,February,Tuesday,2:42,Fatal,3,Truck,10,1,Rainy,National Highway,Under Construction,Daylight,Signals,103,32,Male,Expired,Yes,Straight Road
Tripura,Varanasi,2020,March,Wednesday,23:33,Minor,4,Truck,8,2,Hazy,National Highway,Under Construction,Dusk,,44,66,Male,Valid,No,Straight Road
Andhra Pradesh,Unknown,2019,October,Saturday,2:46,Serious,1,Truck,7,2,Rainy,State Highway,Dry,Daylight,Signs,52,63,Male,Valid,No,Curve
Tripura,Unknown,2022,July,Friday,20:21,Minor,4,Auto-Rickshaw,10,2,Rainy,State Highway,Damaged,Dawn,Police Checkpost,123,52,Female,,Yes,Straight Road
Sikkim,Udaipur,2020,November,Sunday,16:26,Serious,5,Truck,5,0,Stormy,National Highway,Dry,Dawn,Signs,54,24,Male,Valid,Yes,Straight Road
Maharashtra,Vijayawada,2021,April,Sunday,4:35,Fatal,1,Pedestrian,2,5,Stormy,Urban Road,Wet,Dawn,,41,50,Female,,Yes,Bridge
Sikkim,Unknown,2021,April,Tuesday,15:47,Serious,5,Two-Wheeler,9,1,Clear,State Highway,Under Construction,Dark,Signs,121,67,Female,Expired,No,Straight Road
Madhya Pradesh,Unknown,2021,December,Sunday,3:44,Fatal,2,Auto-Rickshaw,8,5,Rainy,Urban Road,Under Construction,Dusk,Signals,64,29,Male,,Yes,Bridge
Uttarakhand,Unknown,2022,October,Tuesday,3:26,Fatal,4,Bus,7,5,Foggy,State Highway,Wet,Dusk,Signs,53,27,Male,,No,Intersection
Maharashtra,Unknown,2018,October,Sunday,13:30,Fatal,5,Truck,1,2,Rainy,Village Road,Under Construction,Dark,Signals,64,44,Male,,Yes,Intersection
Maharashtra,Unknown,2019,November,Wednesday,23:21,Serious,1,Bus,9,2,Clear,Village Road,Wet,Daylight,Signs,44,58,Female,,No,Intersection
Tripura,Jodhpur,2020,July,Monday,16:26,Fatal,4,Cycle,7,4,Hazy,National Highway,Damaged,Dark,Signals,100,67,Male,Expired,Yes,Bridge
Rajasthan,Unknown,2020,October,Wednesday,12:32,Minor,2,Car,4,1,Rainy,State Highway,Damaged,Dark,Signs,100,69,Female,Expired,Yes,Bridge
Manipur,Rohini,2019,January,Saturday,18:08,Serious,3,Bus,6,5,Clear,Urban Road,Wet,Daylight,Signs,109,68,Male,Expired,Yes,Curve
Madhya Pradesh,Unknown,2022,October,Friday,14:42,Minor,5,Truck,8,0,Stormy,National Highway,Wet,Dawn,,104,30,Male,,No,Bridge
Gujarat,Unknown,2019,October,Sunday,7:31,Serious,4,Car,8,2,Rainy,Village Road,Under Construction,Daylight,Police Checkpost,92,55,Female,,No,Straight Road
Sikkim,Unknown,2019,January,Thursday,11:43,Fatal,5,Two-Wheeler,2,0,Foggy,National Highway,Dry,Dusk,Police Checkpost,106,67,Female,,No,Intersection
Gujarat,Unknown,2020,December,Thursday,20:02,Fatal,2,Cycle,11,3,Rainy,State Highway,Under Construction,Dusk,Signs,61,26,Male,Valid,Yes,Curve
Mizoram,Unknown,2019,November,Saturday,13:07,Serious,4,Truck,6,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,103,45,Female,Expired,Yes,Intersection
Meghalaya,Unknown,2020,October,Sunday,16:20,Fatal,5,Cycle,5,3,Rainy,National Highway,Dry,Dark,Signs,117,49,Male,Expired,No,Intersection
Meghalaya,Unknown,2020,October,Monday,3:48,Serious,5,Pedestrian,2,0,Stormy,National Highway,Under Construction,Daylight,Police Checkpost,87,51,Female,,No,Bridge
Kerala,Unknown,2023,May,Sunday,15:01,Minor,3,Truck,3,2,Clear,Urban Road,Dry,Daylight,Signals,38,62,Male,,Yes,Intersection
Uttar Pradesh,Unknown,2021,September,Monday,10:14,Minor,5,Auto-Rickshaw,11,5,Rainy,National Highway,Under Construction,Dusk,,74,43,Female,Expired,Yes,Intersection
Nagaland,Ahmedabad,2022,March,Monday,8:05,Minor,4,Car,6,3,Stormy,National Highway,Wet,Dusk,Signs,114,31,Female,,No,Intersection
Rajasthan,Unknown,2020,March,Thursday,14:19,Minor,1,Truck,1,0,Rainy,State Highway,Under Construction,Daylight,Signals,55,34,Female,Expired,No,Curve
Uttar Pradesh,Unknown,2021,June,Friday,22:40,Fatal,2,Truck,6,0,Rainy,State Highway,Damaged,Dawn,Police Checkpost,109,45,Female,Expired,No,Bridge
Kerala,Unknown,2020,November,Friday,6:42,Fatal,2,Truck,7,5,Stormy,State Highway,Dry,Dusk,Signs,30,52,Male,Expired,Yes,Intersection
Haryana,Unknown,2019,July,Sunday,11:41,Fatal,5,Pedestrian,5,2,Stormy,State Highway,Dry,Daylight,,95,41,Female,,No,Bridge
Gujarat,Unknown,2018,February,Thursday,16:15,Minor,4,Truck,3,4,Rainy,National Highway,Wet,Dark,Police Checkpost,58,21,Male,Expired,Yes,Curve
Maharashtra,Unknown,2021,November,Saturday,10:45,Minor,5,Car,2,3,Rainy,State Highway,Dry,Daylight,Signs,119,58,Female,Valid,No,Intersection
Arunachal Pradesh,Unknown,2019,November,Saturday,2:14,Minor,4,Car,7,2,Rainy,State Highway,Under Construction,Dark,Police Checkpost,114,47,Male,Valid,No,Intersection
Jammu and Kashmir,Unknown,2023,November,Wednesday,7:18,Serious,1,Car,1,2,Clear,State Highway,Under Construction,Dark,Signs,70,54,Female,Expired,No,Intersection
Kerala,Unknown,2021,March,Monday,9:16,Minor,1,Pedestrian,7,4,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,111,13,Male,,No,Intersection
Tripura,Varanasi,2020,November,Friday,16:24,Serious,4,Truck,9,5,Rainy,State Highway,Dry,Daylight,Signs,116,45,Female,,Yes,Intersection
Jammu and Kashmir,Unknown,2021,November,Tuesday,19:09,Minor,5,Auto-Rickshaw,6,1,Clear,State Highway,Under Construction,Dusk,Police Checkpost,51,58,Male,Valid,Yes,Curve
Madhya Pradesh,Mangalore,2019,October,Wednesday,10:49,Minor,5,Car,1,0,Rainy,Village Road,Wet,Daylight,Signals,60,48,Male,Expired,No,Intersection
Karnataka,Unknown,2020,November,Sunday,0:43,Serious,2,Truck,2,2,Hazy,Urban Road,Under Construction,Dark,Police Checkpost,41,45,Male,,Yes,Curve
Meghalaya,Unknown,2018,November,Sunday,6:35,Serious,4,Cycle,11,1,Rainy,Village Road,Under Construction,Dusk,Police Checkpost,49,48,Male,,No,Intersection
Haryana,Unknown,2020,May,Thursday,1:19,Serious,5,Car,3,2,Stormy,State Highway,Damaged,Daylight,Signals,109,30,Male,Expired,No,Bridge
Kerala,Unknown,2023,January,Friday,16:25,Fatal,5,Car,7,0,Rainy,State Highway,Under Construction,Daylight,Signs,102,49,Female,Expired,Yes,Bridge
Punjab,Unknown,2019,October,Saturday,6:59,Serious,2,Cycle,3,0,Clear,National Highway,Wet,Dawn,Signs,77,52,Female,Expired,Yes,Curve
Uttarakhand,Unknown,2019,December,Sunday,3:22,Serious,2,Truck,3,0,Rainy,Village Road,Damaged,Daylight,Signs,118,23,Female,Expired,No,Straight Road
Maharashtra,Unknown,2019,November,Monday,6:42,Minor,4,Car,6,2,Rainy,State Highway,Damaged,Dark,Signs,79,29,Male,Valid,Yes,Intersection
Rajasthan,Unknown,2019,January,Sunday,9:04,Serious,1,Truck,10,1,Hazy,National Highway,Under Construction,Daylight,Signs,74,49,Male,,No,Bridge
Chhattisgarh,Jaipur,2018,March,Friday,15:24,Serious,3,Car,8,2,Foggy,Village Road,Damaged,Dark,,119,49,Female,Valid,No,Intersection
Madhya Pradesh,Unknown,2022,October,Friday,0:30,Serious,4,Cycle,8,4,Foggy,Urban Road,Dry,Daylight,Signals,45,17,Female,Expired,Yes,Intersection
Nagaland,Nagpur,2023,November,Wednesday,12:43,Fatal,4,Car,2,5,Rainy,Village Road,Damaged,Daylight,,62,56,Male,Valid,Yes,Bridge
West Bengal,Unknown,2020,June,Friday,7:21,Fatal,2,Truck,4,3,Rainy,State Highway,Dry,Dark,Police Checkpost,62,53,Male,Expired,Yes,Bridge
